name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,use0,use1,use2,use3,use4,Chemical Class,Therapeutic Class,Habit Forming
aciloc 150 tablet,Zinemac 150 Tablet,Monoloc 150mg Tablet,Ranitas 150mg Tablet,Ranloc 150mg Tablet,Zynol 150mg Tablet,Headache,Diarrhea,Gastrointestinal disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,Aralkylamines Derivative,GASTRO INTESTINAL,No
alex syrup,Alkof Junior Syrup,Respicure-D Syrup,Torex Junior Syrup,Chericof Syrup,Respicure-D Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,RESPIRATORY,No
anovate cream,Pilo GO Cream,PileClear Cream,Proctosedyl BD Cream,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Piles,,,,,,DERMA,No
augmentin duo oral suspension,Goldclav Oral Suspension,Moxiclip Dry Syrup,Tervis DS Oral Suspension,Bestomax Dry Syrup,Amoxyril-CV Dry Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistance Tuberculosis (TB),Treatment of Bacterial infections,,,,,ANTI INFECTIVES,No
ambrodil-s syrup,,,,,,Headache,Palpitations,Upset stomach,Tremors,Muscle cramp,Allergic reaction,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough,,,,,,RESPIRATORY,No
arkamin tablet,Albamine 100mcg Tablet,Arkapres 100 Tablet,Cloud 100mcg Tablet,Closidin 100mcg Tablet,Cata-Dict 0.1 Tablet,Dizziness,Dryness in mouth,Headache,Nausea,Fatigue,Orthostatic hypotension (sudden lowering of blood pressure on standing),Erectile dysfunction,Enlarged salivary gland,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,Imidazoline derivative,CARDIAC,No
asthakind-dx syrup sugar free,Wytuss-DMR Syrup Mint Sugar Free,Dcrocof-DX Syrup Sugar Free,Broxino-DX Syrup Sugar Free,Imotus D Syrup,Brikuff-DX Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,RESPIRATORY,No
allegra 180mg tablet,Lcfex 180 Tablet,Fexofen 180mg Tablet,Mavifex 180mg Tablet,Histafree 180 Tablet,Vilofex 180 Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,RESPIRATORY,No
albendazole 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parasitic infections,,,,,2-Benzimidazolylcarbamic acid esters,ANTI INFECTIVES,No
asthalin syrup,Brethmol 2mg/5ml Syrup,Salvent 2mg Syrup,Ralbet 2mg Syrup,Asthabon 2mg Syrup,VENTORLIN 2MG/5ML SYRUP,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,RESPIRATORY,No
altraday capsule sr,Krd AR 200mg/20mg Capsule SR,Rient-A Capsule SR,Rabispan-AC Capsule SR,Douxrab Ace 200mg/20mg Capsule SR,Rabewan AC 200mg/20mg Capsule SR,Nausea,Flatulence,Indigestion,Diarrhea,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
ascoril ls junior syrup,Bronkolyte Levo PD Syrup,Nakuf LS Syrup,Cleartuss LS Syrup,Chericof-LS Junior Syrup,Ventiphylline LS Junior Syrup,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,RESPIRATORY,No
asthalin 100mcg inhaler,RHEOLIN 100 MCG INHALER,Ventorlin Inhaler CFC Free,Bronkonat 100mcg Inhaler,Durasal Breathaler 100mcg Inhaler,Asthavent 100mcg Inhaler,Tachycardia,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,RESPIRATORY,No
almox 500 capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Aminopenicillins Penicillins,ANTI INFECTIVES,No
atarax 10mg tablet,Evall 10mg Tablet,Hydil 10mg Tablet,Stoprax 10mg Tablet,Hynorax 10mg Tablet,Hydrobal 10 Tablet,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,RESPIRATORY,No
aldactone tablet,Aldobloc 25mg Tablet,Spirix 25mg Tablet,Spiromax 25mg Tablet,Spirolact 25mg Tablet,Spironot 25 Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,CARDIAC,No
atarax syrup,Hydil 10mg Syrup,Pru 10mg Syrup,Hedosat 10mg Syrup,Livrox 10mg Syrup,Anzine 10mg Syrup,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,RESPIRATORY,No
axcer  90mg tablet,Tikacad 90 Tablet,Brigrel Tablet,Xygrel 90 Tablet,Ticastro 90 Tablet,Ticavic 90 Tablet,Bleeding,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of heart attack and stroke,,,,,Triazolopyrimidines,BLOOD RELATED,No
aldigesic p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
alfoo 10mg tablet pr,DavaIndia Alfuzosin 10mg Tablet PR,Alfucal 10mg Tablet PR,Alfugress Tablet PR,Emzosin Tablet PR,Zyalfa Tablet PR,Upper respiratory tract infection,Dizziness,Headache,Nausea,Abdominal pain,Impotence,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Benign prostatic hyperplasia,,,,,Quinazoline Derivative,UROLOGY,No
arachitol 6l injection,Sychitol 600000IU Injection,Devita 600000IU Injection,Huch D3 Injection,Dvital 600000IU Injection,Gen-D3 600000IU Injection,"Injection site reactions (pain, swelling, redness)",Weakness,Muscle pain,Metallic taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Vitamin D deficiency,Treatment of Osteoporosis,,,,Vitamin D Derivative [cholecalciferol],VITAMINS MINERALS NUTRIENTS,No
anafortan 25 mg/300 mg tablet,Carespas CP 25mg/300mg Tablet,Camyfyl 25mg/300mg Tablet,Cyclobid CP 25mg/300mg Tablet,Camylyn-P Tablet,Cyclobrex CP 25mg/300mg Tablet,Dryness in mouth,Constipation,Blurred vision,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Abdominal pain,,,,,,GASTRO INTESTINAL,No
alex junior syrup,Kuffery-DMR Junior Syrup,Rizet DX Jr Syrup Kiwi,Irinil D Syrup,Dexgen Syrup,Abrotus DX Junior Syrup,Upset stomach,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,RESPIRATORY,No
azithral 200 liquid,Azam 200 Oral Suspension,Spazit Suspension,Azimox 200mg Oral Suspension,Uber 200 Oral Suspension,Azee 200mg Dry Syrup,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
ab phylline capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Bronet 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,RESPIRATORY,No
althrocin 500 tablet,Erythromycin Estol 500mg Tablet,Eryster 500mg Tablet,Eltocin 500mg Tablet,Erytho 500mg Tablet,Elucin 500mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
augmentin dds suspension,Bactoclav DS 457 Dry Syrup,Extclav-DS Dry Syrup,Clavio-DS Oral Suspension,Medgud-CV Forte Dry Syrup,Clomaxin-DS Dry Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,ANTI INFECTIVES,No
azicip 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
aldigesic-sp tablet,Asozen SR Plus 100mg/325mg/10mg Tablet,Accept-SP Tablet,Combifenac SP 100mg/325mg/10mg Tablet,Aceloflam SP Tablet,Parofen-S Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
asthakind expectorant sugar free,Eascof  Expectorant,Ventoranz Cough Expectorant,Eledyl SF Expectorant,Ascoril SF Expectorant,,Nausea,Diarrhea,Bloating,Indigestion,Vomiting,Stomach pain,Sweating,Dizziness,Headache,Skin rash,Hives,Tremors,Increased heart rate,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,RESPIRATORY,No
acemiz plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
aceclo plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
anobliss cream,Nifedip LA  Cream,Anozest Cream,Anomed L Cream,Anorelief Cream,Escot Cream,Anal irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anal fissure,,,,,,PAIN ANALGESICS,No
alex cough lozenges lemon ginger,CHERICOF 5MG LOZENGES,Tossex D 5mg Lozenges,,,,Sleepiness,Dizziness,Confusion,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,Methyl Analog of Dextrorphan,RESPIRATORY,No
asthalin respules,Derihaler 2.5mg Respules,Asthavent 2.5mg Respules,Axamol 2.5mg Respules 2.5ml,Pneumasal 2.5mg Respules (2.5ml Each),,Tachycardia,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,RESPIRATORY,No
avil injection,Nicophen 22.75mg Injection,Instavil 22.75mg Injection,Eurovil 22.75mg Injection,Kayphen 22.75mg Injection,,Sleepiness,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Pyridines Derivatives,RESPIRATORY,No
azee 200mg dry syrup,Azam 200 Oral Suspension,Spazit Suspension,Azimox 200mg Oral Suspension,Uber 200 Oral Suspension,Azmo 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
atorva tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,CARDIAC,No
asthakind-ls expectorant cola sugar free,Tarific Expectorant,Nakuf LS+ SF Expectorant Cherry Sugar Free,Piritexyl-LS SF Expectorant,Tuspel LS 1 Expectorant,Macbery LS Expectorant Sugar Free,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,RESPIRATORY,No
ascoril ls drops,Usal LS Drops,Levokof Oral Drops,Coffact-S Drop,Nosicold LS Oral Drops,Zerotuss XP Drop,Vomiting,Diarrhea,Excessive salivation,Fatigue,Headache,Dizziness,Rash,Numbness of extremity,Nausea,Increased heart rate,Stomach discomfort,Palpitations,Tremors,Muscle cramp,,,,,,,,,,,,,,,,,,,,Acute Sore throat,Treatment of Cough with mucus,,,,,RESPIRATORY,No
azmarda 50mg tablet,Sacutan 50 Tablet,Sacurise 50 Tablet,Arney 50 Tablet,Sacuval 50 Tablet,Sacu-V 50 Tablet,Dizziness,Increased potassium level in blood,Fatigue,Hypotension (low blood pressure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heart failure,,,,,,CARDIAC,No
ab-flo-n tablet,Oxydex Tablet,Pulmotol Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
af kit tablet,Afo Kit 1000 mg/750 mg/150 mg Tablet,Femiriv 3 Kit Tablet,Vaginobact 1000 mg/750 mg/150 mg Tablet,,,Taste change,Vomiting,Headache,Dizziness,Stomach pain,Nausea,Indigestion,Diarrhea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Syndromic treatment of vaginal discharge,,,,,,GYNAECOLOGICAL,No
ascoril d junior cough syrup,Alkof Junior Syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,RESPIRATORY,No
amitone 10mg tablet,Triptop 10mg Tablet,Relidep 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,NEURO CNS,No
ambrodil-lx syrup,Solvin LS Syrup,Zerotuss XP Syrup,Capex LS Syrup,Broxum LS Syrup,Asthalin AX Syrup,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,RESPIRATORY,No
aquasol a capsule,,,,,,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Vitamin A deficiency,,,,,Retinoid Derivative,VITAMINS MINERALS NUTRIENTS,No
ab phylline sr 200 tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,RESPIRATORY,No
aztor 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,CARDIAC,No
atorva 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,CARDIAC,No
azax 500 tablet,Zithrocare 500mg Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,ANTI INFECTIVES,No
alex syrup sugar free,Alkof Junior Syrup,Respicure-D Syrup,Torex Junior Syrup,Chericof Syrup,Respicure-D Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,RESPIRATORY,No
acitrom 2 tablet,Nicoz 2mg Tablet,Nistrom 2mg Tablet,Acimalone 2 Tablet,Acethromb 2mg Tablet,Cenorol 2mg Tablet,Hemorrhage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Blood clots,,,,,4-hydroxycoumarin Derivative,CARDIAC,No
angispan - tr 2.5mg capsule,Angiplat 2.5 Capsule TR,Angistat 2.5 Capsule TR,Vasovin - XL 2.5 Capsule,,,Blurred vision,Decreased blood pressure,Dizziness,Headache,Increased heart rate,Lightheadedness,Paresthesia (tingling or pricking sensation),,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Angina (heart-related chest pain),,,,,Nitrates {Short acting},CARDIAC,No
azeflo nasal spray,Sarnase 50 mcg/140 mcg Nasal Spray,Sernase Nasal Spray,Armist Nasal Spray,Lergiset-AF Nasal Spray,Flotaze Nasal Spray,Taste change,Nosebleeds,Headache,Cough,Upper respiratory tract infection,Dryness in mouth,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,RESPIRATORY,No
aerocort inhaler,,,,,,Hoarseness of voice,Headache,Dizziness,Pharyngitis,Vomiting,Bronchitis (inflammation of the airways),Dryness in mouth,Cough,Application site irritation,Nausea,Gastrointestinal motility disorder,Thrush,Throat irritation,,,,,,,,,,,,,,,,,,,,, Asthma,,,,,,RESPIRATORY,No
adaferin gel,Alene Gel,Adaple 0.1% Gel,Acfree Gel,Vandep 0.1% Gel,Admark Gel,Erythema (skin redness),Dry skin,Skin peeling,Skin burn,Itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acne,,,,,Retinoids,DERMA,No
acivir 400 dt tablet,Acivex 400mg Tablet DT,Zoylex 400mg Tablet DT,Acloriv 400mg Tablet DT,Docvir 400mg Tablet DT,Zoster 400mg Tablet DT,Headache,Dizziness,Vomiting,Nausea,Fatigue,Fever,Stomach pain,Diarrhea,Skin rash,Photophobia,,,,,,,,,,,,,,,,,,,,,,,, Herpes Simplex Virus Infections, Chickenpox, Herpes labialis, Shingles, Genital herpes infection,Nucleoside analog,ANTI INFECTIVES,No
aptimust syrup,Actizer Syrup,Pepcip Syrup,Cycoline Syrup,Yopon  Syrup,Oditril Syrup,Constipation,Dryness in mouth,Drowsiness,Sleepiness,Blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Appetite stimulant,,,,,,VITAMINS MINERALS NUTRIENTS,No
augmentin 1000 duo tablet,Moxikind-CV 1gm Tablet,Acuclav 1000mg Tablet,Mega-CV Duo 875mg/125mg Tablet,Bactoclav 875 mg/125 mg Tablet,Lmx Forte 875mg/125mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,ANTI INFECTIVES,No
ambrodil syrup,Ambril Syrup,Respolite Syrup,Ambrolene Syrup,Revibrox Plus 30mg/5ml Syrup,Cofnil AM 30mg Syrup,Vomiting,Nausea,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Respiratory tract disorders associated with viscid mucus,,,,,Phenylmethylamine Derivative,RESPIRATORY,No
acogut tablet,Actapro Tablet,Dycotiam Tablet,Tocamide Tablet,Actapro Tablet,Acotrust  Tablet,Headache,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Functional dyspepsia,,,,,Salicylamide Derivative,GASTRO INTESTINAL,No
atarax drops,,,,,,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,RESPIRATORY,No
