medicamento_en,medicamento_principal,sustituto1_en,sustituto2_en,sustituto3_en,sustituto4_en,sustituto5_en,sustituto1_es,sustituto2_es,sustituto3_es,sustituto4_es,sustituto5_es
aciloc 150 tablet,aciloc 150 tableta,zinemac 150 tablet,monoloc 150mg tablet,ranitas 150mg tablet,ranloc 150mg tablet,zynol 150mg tablet,zinemac 150 tableta,monoloc 150 mg de tableta,ranitas 150 mg de tableta,tableta ranloc 150mg,zynol 150mg tableta
alex syrup,jarabe de alex,alkof junior syrup,respicure-d syrup,torex junior syrup,chericof syrup,respicure-d syrup,jarabe junior de alkof,jarabe de respicura-d,jarabe junior torex,chericof jarabe,jarabe de respicura-d
anovate cream,crema anovada,pilo go cream,pileclear cream,proctosedyl bd cream,,,pilo go creem,crema de pileclear,crema de proctosastyl bd,,
augmentin duo oral suspension,suspension oral del duo augmentin,goldclav oral suspension,moxiclip dry syrup,tervis ds oral suspension,bestomax dry syrup,amoxyril-cv dry syrup,suspension oral de goldclav,jarabe seco de moxiclip,suspension oral de tervis ds,jarabe seco bestomax,amoxyril-cv jarabe seco
ambrodil-s syrup,jarabe de ambrodil-s,,,,,,,,,,
arkamin tablet,tableta arkamin,albamine 100mcg tablet,arkapres 100 tablet,cloud 100mcg tablet,closidin 100mcg tablet,cata-dict 0.1 tablet,albamine 100mcg tableta,arkapres 100 tableta,tableta de 100 mcg de nube,closidin 100mcg tableta,cata dict 0.1 tableta
asthakind-dx syrup sugar free,asthakind-dx jarabe sin azucar,wytuss-dmr syrup mint sugar free,dcrocof-dx syrup sugar free,broxino-dx syrup sugar free,imotus d syrup,brikuff-dx syrup,wytuss-dmr jarabe menta azucar sin azucar,dcrocof-dx jarabe de azucar sin azucar,broxino-dx jarabe de azucar sin,imotus d jarabe,jarabe brikuff-dx
allegra 180mg tablet,allegra 180mg tableta,lcfex 180 tablet,fexofen 180mg tablet,mavifex 180mg tablet,histafree 180 tablet,vilofex 180 tablet,lcfex 180 tableta,fexofen 180mg tableta,mavifex 180mg tableta,histafree 180 tableta,vilofex 180 tableta
albendazole 400mg tablet,albendazol 400mg tableta,olworm 400mg tablet,zeebee tablet,zybend tablet,albekem 400mg tablet,sezole 400mg tablet,tableta olworm 400mg,tableta zeebee,tableta zybend,albekem 400mg tableta,tableta sezol 400mg
asthalin syrup,jarabe de ashalin,brethmol 2mg/5ml syrup,salvent 2mg syrup,ralbet 2mg syrup,asthabon 2mg syrup,ventorlin 2mg/5ml syrup,brethmol 2mg/5 ml de jarabe,salvente 2mg jarabe,ralbet 2mg jarabe,jarabe de asthabon 2mg,ventorlin 2mg/5 ml de jarabe
altraday capsule sr,capsula de altraday sr,krd ar 200mg/20mg capsule sr,rient-a capsule sr,rabispan-ac capsule sr,douxrab ace 200mg/20mg capsule sr,rabewan ac 200mg/20mg capsule sr,krd ar 200mg/20mg capsula sr,rient-a capsula sr,capsula de rabispan-ac sr,douxrab as 200mg/20mg capsula sr,rabewan ac 200mg/20mg capsula sr
ascoril ls junior syrup,ascoril ls jarabe junior,bronkolyte levo pd syrup,nakuf ls syrup,cleartuss ls syrup,chericof-ls junior syrup,ventiphylline ls junior syrup,bronkolyte levo pd jarabe,nakuf ls jarabe,cleartuss ls jarabe,jarabe junior de chicofof-ls,jarabe junior de ventiflina ls junior
asthalin 100mcg inhaler,inhalador de 100mcg de ashalin,rheolin 100 mcg inhaler,ventorlin inhaler cfc free,bronkonat 100mcg inhaler,durasal breathaler 100mcg inhaler,asthavent 100mcg inhaler,rheolin 100 mcg inhalador,inhalador de ventorlin cfc free,inhalador de 100mcg de bronkonat,inhalador de 100 mcg de antano durasal,asthavent 100mcg inhalador
almox 500 capsule,capsula de almox 500,tormoxin 500mg capsule,cipmox 500 capsule,tidoxyl 500mg capsule,actimox 500mg capsule,sb mox 500mg capsule,capsula de 500 mg,cipmox 500 capsula,capsula de 500 mg,capsula de 500 mg de actimox,capsula sb mox 500mg
atarax 10mg tablet,tableta atarax 10mg,evall 10mg tablet,hydil 10mg tablet,stoprax 10mg tablet,hynorax 10mg tablet,hydrobal 10 tablet,evall 10mg tableta,tableta hydil 10mg,tableta stoprax 10mg,tableta hynorax 10mg,tableta hydrobal 10
aldactone tablet,tableta aldactona,aldobloc 25mg tablet,spirix 25mg tablet,spiromax 25mg tablet,spirolact 25mg tablet,spironot 25 tablet,aldobloc 25mg tableta,tableta de 25 mg de espirix,spiromax 25mg tableta,spirolact 25mg tableta,spironot 25 tableta
atarax syrup,jarabe de atarax,hydil 10mg syrup,pru 10mg syrup,hedosat 10mg syrup,livrox 10mg syrup,anzine 10mg syrup,jarabe de hydil 10mg,pru 10mg jarabe,jarabe de 10 mg de hedosat,jarabe de livrox 10mg,jarabe de anzina 10mg
axcer  90mg tablet,axcer 90mg tableta,tikacad 90 tablet,brigrel tablet,xygrel 90 tablet,ticastro 90 tablet,ticavic 90 tablet,tikacad 90 tableta,tableta de brigel,xygrel 90 tableta,ticastro 90 tableta,ticavic 90 tableta
aldigesic p 100mg/325mg tablet,aldigesic p 100mg/325mg tableta,dolostat pc 100 mg/325 mg tablet,acimol 100 mg/325 mg tablet,topnac p tablet,arflur-p tablet,ark-ap tablet,dolostat pc 100 mg/325 mg tableta,acimol 100 mg/325 mg de tableta,topnac p tableta,tableta arflu-p,tableta arca
alfoo 10mg tablet pr,alfoo 10mg tableta pr,davaindia alfuzosin 10mg tablet pr,alfucal 10mg tablet pr,alfugress tablet pr,emzosin tablet pr,zyalfa tablet pr,davaindia alfuzosin 10mg tableta pr,alfucal 10 mg de tableta pr,tableta de alfuress pr,pableta de emzosin pr,tableta zyalfa pr
arachitol 6l injection,inyeccion de araquitol 6l,sychitol 600000iu injection,devita 600000iu injection,huch d3 injection,dvital 600000iu injection,gen-d3 600000iu injection,inyeccion de sychitol 600000iu,inyeccion de devita 600000iu,inyeccion huch d3,dvital 600000iu inyeccion,gen-d3 600000iu inyeccion
anafortan 25 mg/300 mg tablet,anafortan 25 mg/300 mg de tableta,carespas cp 25mg/300mg tablet,camyfyl 25mg/300mg tablet,cyclobid cp 25mg/300mg tablet,camylyn-p tablet,cyclobrex cp 25mg/300mg tablet,carespas cp 25mg/300mg tableta,camyfyl 25mg/300mg tableta,ciclobid cp 25mg/300mg tableta,tableta camylyn-p,ciclobrex cp 25mg/300mg tableta
alex junior syrup,jarabe de alex junior,kuffery-dmr junior syrup,rizet dx jr syrup kiwi,irinil d syrup,dexgen syrup,abrotus dx junior syrup,jarabe junior de kuffery-dmr,rizet dx jr syrup kiwi,irinil d jarabe,jarabe de dexgen,abrotus dx jarabe junior
azithral 200 liquid,azitral 200 liquido,azam 200 oral suspension,spazit suspension,azimox 200mg oral suspension,uber 200 oral suspension,azee 200mg dry syrup,suspension oral de azam 200,suspension spazit,suspension oral de azimox 200mg,uber 200 suspension oral,azee 200mg jarabe seco
ab phylline capsule,ab capsula phylline,broncocet acb capsule,broncofil 100mg capsule,bronet 100mg capsule,axeldox 100 capsule,ambrodil-xp capsule,capsula de broncocet acb,capsula de 100 mg de broncofil,capsula de 100 mg de bronet,capsula de axeldox 100,capsula de ambrodil-xp
althrocin 500 tablet,altrocina 500 tableta,erythromycin estol 500mg tablet,eryster 500mg tablet,eltocin 500mg tablet,erytho 500mg tablet,elucin 500mg tablet,eritromicina estol 500mg tableta,eryster 500mg tableta,tableta de 500 mg de eltocina,tableta erytho 500mg,elucina de 500 mg de tableta
augmentin dds suspension,suspension de augmentin dds,bactoclav ds 457 dry syrup,extclav-ds dry syrup,clavio-ds oral suspension,medgud-cv forte dry syrup,clomaxin-ds dry syrup,bactoclav ds 457 jarabe seco,jarabe seco extclav-dds,suspension oral de clavio-ds,medgud-cv forte en jarabe seco,jarabe seco de clomaxin-ds
azicip 500 tablet,tableta azicip 500,zithrocare 500mg tablet,azax 500 tablet,zady 500 tablet,cazithro 500mg tablet,trulimax 500mg tablet,zithrocare 500mg tableta,azax 500 tableta,zady 500 tableta,cazithro 500mg tableta,tableta trulimax 500mg
aldigesic-sp tablet,tableta aldigesic-sp,asozen sr plus 100mg/325mg/10mg tablet,accept-sp tablet,combifenac sp 100mg/325mg/10mg tablet,aceloflam sp tablet,parofen-s tablet,sr aszen sr mas 100 mg/325mg/10 mg de tableta,tableta de aceptacion-sp,combifenac sp 100mg/325mg/10mg tableta,tableta aceloflam sp,tableta parofen-s
asthakind expectorant sugar free,asthakind expectorante azucar libre,eascof  expectorant,ventoranz cough expectorant,eledyl sf expectorant,ascoril sf expectorant,,expectorant eascof,expectorant para tos ventoranz,eledyl sf expectorant,ascoril sf expectorant,
acemiz plus tablet,acemiz mas tableta,dolostat pc 100 mg/325 mg tablet,acimol 100 mg/325 mg tablet,topnac p tablet,arflur-p tablet,acenext p 100mg/325mg tablet,dolostat pc 100 mg/325 mg tableta,acimol 100 mg/325 mg de tableta,topnac p tableta,tableta arflu-p,acenext p 100mg/325mg tableta
aceclo plus tablet,tableta aceclo plus,dolostat pc 100 mg/325 mg tablet,acimol 100 mg/325 mg tablet,topnac p tablet,arflur-p tablet,acenext p 100mg/325mg tablet,dolostat pc 100 mg/325 mg tableta,acimol 100 mg/325 mg de tableta,topnac p tableta,tableta arflu-p,acenext p 100mg/325mg tableta
anobliss cream,crema anobbles,nifedip la  cream,anozest cream,anomed l cream,anorelief cream,escot cream,nifedip la crema,crema de antecedentes,crema anomed l,crema anorelief,crema escotera
alex cough lozenges lemon ginger,alex tos pastillas de limon jengibre,chericof 5mg lozenges,tossex d 5mg lozenges,,,,chericof 5mg pastillas,tossex d 5mg pastillas,,,
asthalin respules,astalin respulenta,derihaler 2.5mg respules,asthavent 2.5mg respules,axamol 2.5mg respules 2.5ml,pneumasal 2.5mg respules (2.5ml each),,derihaler 2.5mg respulaciones,ashavent 2.5mg respulaciones,axamol 2.5mg respules 2.5ml,neumasal 2.5mg respulaciones (2.5ml cada uno),
avil injection,inyeccion de avil,nicophen 22.75mg injection,instavil 22.75mg injection,eurovil 22.75mg injection,kayphen 22.75mg injection,,nicophen 22.75mg inyeccion,inyeccion de instavil 22.75mg,eurovil 22.75mg inyeccion,inyeccion de 22.75mg de kayphen,
azee 200mg dry syrup,azee 200mg jarabe seco,azam 200 oral suspension,spazit suspension,azimox 200mg oral suspension,uber 200 oral suspension,azmo 200mg oral suspension,suspension oral de azam 200,suspension spazit,suspension oral de azimox 200mg,uber 200 suspension oral,suspension oral de azmo 200mg
atorva tablet,tableta de atorva,atorast 10mg tablet,zivast 10 tablet,storvas 10 tablet,tonact 10 tablet,atorlip 10 tablet,tableta atorast 10mg,zivast 10 tableta,storvas 10 tableta,tonact 10 tableta,atorlip 10 tableta
asthakind-ls expectorant cola sugar free,asthakind-ls expectorant cola azucar libre,tarific expectorant,nakuf ls+ sf expectorant cherry sugar free,piritexyl-ls sf expectorant,tuspel ls 1 expectorant,macbery ls expectorant sugar free,expectorante tardio,nakuf ls+ sf expectorant cherry azucar gratis,piritexyl-ls sf expectorant,tuspel ls 1 expectorant,macbery ls expectorant azucar gratis
ascoril ls drops,ascoril ls gotas,usal ls drops,levokof oral drops,coffact-s drop,nosicold ls oral drops,zerotuss xp drop,usal ls gotas,levokof oral gotas,caida,gotas orales de nosicold ls,zerotuss xp drop
azmarda 50mg tablet,azmarda 50mg tableta,sacutan 50 tablet,sacurise 50 tablet,arney 50 tablet,sacuval 50 tablet,sacu-v 50 tablet,sacutan 50 tableta,sacurise 50 tableta,arney 50 tableta,sacuval 50 tableta,sacu-v 50 tableta
ab-flo-n tablet,tableta ab-flo-n,oxydex tablet,pulmotol tablet,amucoe nac tablet,aphyren-n tablet,asmasafe-n tablet,tableta oxydex,tableta pulmotol,tableta de amin nac,aphyren-n tableta,tableta asmasafe-n
af kit tablet,tableta de kit de af,afo kit 1000 mg/750 mg/150 mg tablet,femiriv 3 kit tablet,vaginobact 1000 mg/750 mg/150 mg tablet,,,kit afo 1000 mg/750 mg/150 mg de tableta,tableta de kit de femiriv 3,vaginobact 1000 mg/750 mg/150 mg de tableta,,
ascoril d junior cough syrup,ascoril d junior tos jarabe,alkof junior syrup,respicure-d syrup,chericof syrup,respicure-d syrup,ataqued syrup,jarabe junior de alkof,jarabe de respicura-d,chericof jarabe,jarabe de respicura-d,jarabe
amitone 10mg tablet,tableta de 10 mg de amitona,triptop 10mg tablet,relidep 10mg tablet,tryp 10mg tablet,amitril 10mg tablet,odep 10mg tablet,tableta triptop 10mg,relidep 10mg tableta,tableta tryp 10mg,tableta amitril 10mg,tableta odep 10mg
ambrodil-lx syrup,jarabe de ambrodil-lx,solvin ls syrup,zerotuss xp syrup,capex ls syrup,broxum ls syrup,asthalin ax syrup,solvin ls jarabe,jarabe de zerotuss xp,jarabe de capex ls,broxum ls jarabe,jarabe de axal de asthalin
aquasol a capsule,aquasol una capsula,,,,,,,,,,
ab phylline sr 200 tablet,ab phylline sr 200 tableta,venphylin-sr tablet,uliphyalline 200 sr tablet,asmasafe 200mg tablet sr,acethama 200 sr tablet,abiways 200 sr tablet,tableta venphylin-sr,uliphyalina 200 sr tableta,asmasafe 200mg tableta sr,acethama 200 sr tablet,abiways 200 sr tableta
aztor 10 tablet,aztor 10 tableta,atorast 10mg tablet,zivast 10 tablet,storvas 10 tablet,tonact 10 tablet,atorlip 10 tablet,tableta atorast 10mg,zivast 10 tableta,storvas 10 tableta,tonact 10 tableta,atorlip 10 tableta
atorva 40 tablet,atorva 40 tableta,atorless 40mg tablet,atchol 40 tablet,lipikind 40 tablet,mactor 40 tablet,atorsave 40 tablet,tableta de 40 mg de atorles,atchol 40 tableta,tableta lipikind 40,mactor 40 tableta,atorsave 40 tableta
azax 500 tablet,azax 500 tableta,zithrocare 500mg tablet,zady 500 tablet,cazithro 500mg tablet,trulimax 500mg tablet,azifast 500 tablet,zithrocare 500mg tableta,zady 500 tableta,cazithro 500mg tableta,tableta trulimax 500mg,azifast 500 tableta
alex syrup sugar free,alex syrup sugar free,alkof junior syrup,respicure-d syrup,torex junior syrup,chericof syrup,respicure-d syrup,jarabe junior de alkof,jarabe de respicura-d,jarabe junior torex,chericof jarabe,jarabe de respicura-d
acitrom 2 tablet,acitrom 2 tableta,nicoz 2mg tablet,nistrom 2mg tablet,acimalone 2 tablet,acethromb 2mg tablet,cenorol 2mg tablet,nicoz 2mg tableta,nistrom 2mg tableta,acimalone 2 tableta,tableta de 2mg de achromb,cenorol 2mg tableta
angispan - tr 2.5mg capsule,angispan - tr 2.5mg capsula,angiplat 2.5 capsule tr,angistat 2.5 capsule tr,vasovin - xl 2.5 capsule,,,angiplat 2.5 capsula tr,angistat 2.5 capsula tr,vasovin - xl 2.5 capsula,,
azeflo nasal spray,azeflo nasal spray,sarnase 50 mcg/140 mcg nasal spray,sernase nasal spray,armist nasal spray,lergiset-af nasal spray,flotaze nasal spray,sarnasa 50 mcg/140 mcg nasal spray,spray nasal de sernasa,pulverizacion nasal,lergiset-as spray nasal,flotaze nasal spray
aerocort inhaler,inhalador de aerocort,,,,,,,,,,
adaferin gel,gel de adaferina,alene gel,adaple 0.1% gel,acfree gel,vandep 0.1% gel,admark gel,gel alene,adaptacion 0.1% gel,gel acre,vandep 0.1% gel,gel admark
acivir 400 dt tablet,tableta acivir 400 dt,acivex 400mg tablet dt,zoylex 400mg tablet dt,acloriv 400mg tablet dt,docvir 400mg tablet dt,zoster 400mg tablet dt,acivex 400mg tableta dt,zoylex 400mg tableta dt,acloriv 400mg tableta dt,docvir 400mg tableta dt,zoster 400mg tableta dt
aptimust syrup,jarabe aptimusto,actizer syrup,pepcip syrup,cycoline syrup,yopon  syrup,oditril syrup,jarabe de actizador,jarabe de pepcip,jarabe de cicolina,jarabe yopon,jarabe de oditril
augmentin 1000 duo tablet,augmentin 1000 duo tableta,moxikind-cv 1gm tablet,acuclav 1000mg tablet,mega-cv duo 875mg/125mg tablet,bactoclav 875 mg/125 mg tablet,lmx forte 875mg/125mg tablet,moxikind-cv 1gm tableta,acuclav 1000mg tableta,mega-cv duo 875mg/125mg tableta,bactoclav 875 mg/125 mg de tableta,lmx forte 875mg/125mg tableta
ambrodil syrup,jarabe de ambrodil,ambril syrup,respolite syrup,ambrolene syrup,revibrox plus 30mg/5ml syrup,cofnil am 30mg syrup,jarabe de ambril,jarabe de respolita,jarabe de ambroleno,revibrox mas 30 mg/5 ml de jarabe,cofnil am 30mg jarabe
acogut tablet,tableta de acogut,actapro tablet,dycotiam tablet,tocamide tablet,actapro tablet,acotrust  tablet,tableta de actapro,tableta dycotiam,tableta de tocamida,tableta de actapro,tableta de acotrustes
atarax drops,atarax cae,,,,,,,,,,
amlip 5 tablet,amlip 5 tableta,amset 5mg tablet,avacard 5mg tablet,amcard 5 tablet,amlong tablet,camlodip 5mg tablet,tableta de 5 mg de amset,avacard 5mg tableta,tableta amcard 5,tableta amlong,camlodip 5mg tableta
alerid syrup,jarabe de alerid,cetrilix 5mg syrup,cetmac 5mg/5ml syrup,ralcet 5mg/5ml syrup,mast 1 syrup,ezin syrup,cetrilix 5mg jarabe,cetmac 5mg/5ml jarabe,ralcet 5mg/5 ml de jarabe,mastil 1 jarabe,jarabe de ezin
aldactone 50 tablet,aldactona 50 tableta,spilactone 50mg tablet,spirix 50 tablet,spirolact 50mg tablet,edeflow 50 tablet,aldotone 50mg tablet,spilactone 50mg tableta,spirix 50 tableta,spirolact 50mg tableta,edeflow 50 tableta,aldotone 50mg tableta
azee 250 tablet,azee 250 tableta,azicip 250 tablet,azikem 250mg tablet,fitzee 250 tablet,azi q 250mg tablet,azax 250 tablet,azicipio 250 tableta,azikem 250mg tableta,fitzee 250 tableta,azi q 250mg tableta,azax 250 tableta
alerid tablet,tableta alerid,cetral o 10mg tablet,dio 1 10mg tablet,leecet tablet,ctz tablet,cetcip tablet,cetral o 10mg tableta,dio 1 10mg tableta,tableta leecet,tableta ctz,tableta cetcip
augmentin 375 tablet,augmentin 375 tableta,moxiforce-cv 375 tablet,moxikind-cv 375 tablet,flemiclav 375 tablet,erox cv 250mg/125mg tablet,mega-cv 375 tablet,moxiforce-cv 375 tableta,moxikind-cv 375 tableta,tableta flemiclav 375,erox cv 250mg/125mg tableta,mega-cv 375 tableta
acenac-p  tablet,tableta acenac-p,dolostat pc 100 mg/325 mg tablet,acimol 100 mg/325 mg tablet,topnac p tablet,arflur-p tablet,ark-ap tablet,dolostat pc 100 mg/325 mg tableta,acimol 100 mg/325 mg de tableta,topnac p tableta,tableta arflu-p,tableta arca
acivir cream,crema acivir,setuvir cream,herpesafe cream,zoster cream,zovistar cream,aciherpin cream,crema setuvir,crema herpesafe,crema zoster,crema zovistar,crema de aciherpin
ab-flo capsule,capsula ab-flot,broncocet acb capsule,broncofil 100mg capsule,bronet 100mg capsule,axeldox 100 capsule,ambrodil-xp capsule,capsula de broncocet acb,capsula de 100 mg de broncofil,capsula de 100 mg de bronet,capsula de axeldox 100,capsula de ambrodil-xp
ab phylline n tablet,ab phylline n tableta,oxydex tablet,pulmotol tablet,amucoe nac tablet,aphyren-n tablet,asmasafe-n tablet,tableta oxydex,tableta pulmotol,tableta de amin nac,aphyren-n tableta,tableta asmasafe-n
amifru 40 tablet,amifru 40 tableta,frumide 40 mg/5 mg tablet,frumil tablet,lasiride 40mg/5mg tablet,frumide 40mg/5mg tablet,exna k 40 mg/5 mg tablet,frumide 40 mg/5 mg tableta,tableta frumil,lasiride 40mg/5 mg de tableta,frumide 40mg/5mg tableta,exna k 40 mg/5 mg de tableta
avamys nasal spray,avamys nasal spray,,,,,,,,,,
alkasol oral solution sugar free,solucion oral de alkasol sin azucar,uridol oral solution,,,,,solucion oral uridol,,,,
aciloc 300 tablet,aciloc 300 tableta,gertac 300mg tablet,rancer 300mg tablet,zantid 300mg tablet,zynol 300mg tablet,rdin 300mg tablet,tableta gertac 300mg,tableta rancer 300mg,tableta zantid 300mg,zynol 300mg tableta,tableta rdin 300mg
aziderm 20% cream,aziderm 20% crema,azecne cream,azac 20% cream,exazel 20% cream,dermac 20% cream,azecare 20 cream,crema azecne,azac 20% crema,exazel 20% crema,dermac 20% crema,azecare 20 crema
ace proxyvon tablet,tableta de proxyvon,dolostat pc 100 mg/325 mg tablet,acimol 100 mg/325 mg tablet,topnac p tablet,arflur-p tablet,ark-ap tablet,dolostat pc 100 mg/325 mg tableta,acimol 100 mg/325 mg de tableta,topnac p tableta,tableta arflu-p,tableta arca
ano metrogyl cream,crema de metrogyl ano,sucross ano cream,elfate-lm rectal cream,anosum cream,pileclear s cream,surect cream,crema anogross,crema rectal elfate-lm,crema anosum,crema de pileclear,crema superficial
admenta 5 tablet,tableta admma 5,davaindia memantine 5mg tablet,almantin 5mg tablet,mentra 5mg tablet,mentadem 5mg tablet,memantal 5mg tablet,davaindia memantine 5mg tableta,tableta almantin 5mg,mentra 5mg tableta,mentadem 5mg tableta,memantal 5mg tableta
aceclo-mr tablet,tableta aceclo-mr,vetory mx tablet,dolostat mr 100 mg/325 mg/500 mg tablet,arflur-mr tablet,nacease mr 100mg/325mg/500mg tablet,clorace-mr tablet,tableta vetory mx,dolostat mr 100 mg/325 mg/500 mg de tableta,tableta arflur-mr,nacease mr 100mg/325mg/500mg tableta,tableta clorace-mr
alerid-d tablet,tableta alerid-d,cezor plus 5mg/10mg tablet,zyncet-d tablet,,,,cezor mas 5 mg/10mg tableta,tableta zyncet-d,,,
acemiz-s tablet,tableta acemiz-s,vetory sp tablet,ibugesic asp tablet,dolokind aa tablet,anaflam xps  tablet,buta proxyvon sp tablet,tableta vetory sp,tableta asp ibugesica,tableta dolokind aa,tableta anaflam xps,buta proxyvon sp tableta
allercet-dc tablet,tableta allercet-dc,rycez d 10mg/10mg tablet,lemoson 10 mg/10 mg tablet,rhinocet d tablet,lwin dc 10mg/10mg tablet,hicet-dc tablet,rycez d 10mg/10mg tableta,lemoson 10 mg/10 mg de tableta,rhinocet d tableta,lwin dc 10mg/10mg tableta,tableta hicet-dc
aztolet  10 tablet,aztolet 10 tableta,lipiloss cv 10mg/75mg tablet,dualclop 10mg/75mg tablet,gamator c 10mg/75mg tablet,atetor c 10mg/75mg tablet,nasclo at 10mg/75mg tablet,lipiloss cv 10mg/75mg tableta,dualclop 10mg/75mg tableta,gamator c 10mg/75mg tableta,attor c 10mg/75mg tableta,nasclo a 10 mg/75 mg de tableta
augmentin 1.2gm injection,"inyeccion de 1,2 ggm",amoluck injection,aoxy-cv 1.2gm injection,blumox-ca 1.2gm injection,moxfit cv 1000mg/200mg powder for injection,relin 1000mg/200mg injection,inyeccion de amoluck,inyeccion de 1.2gm de aoxy-cv,inyeccion de 1.2gm de blumox-ca,moxfit cv 1000mg/200 mg en polvo para inyeccion,inyeccion de 1000 mg/200 mg
ambrodil-plus rf syrup,ambrodil-plus rf jarabe,,,,,,,,,,
amlopres-at tablet,amlopros-en tableta,biopress am tablet,lupidip-a tablet,amlip at tablet,amlovas-at tablet,amdepin-at tablet,biopress am tableta,lupidip-una tableta,amlip en la tableta,amlovas-at tableta,amdepin-at tableta
ajaduo 25mg/5mg tablet,ajaduo 25mg/5mg tableta,glyxambi 25mg/5mg tablet,tiptengio 25mg/5mg tablet,xilingio 25mg/5mg tablet,,,glyxambi 25mg/5mg tableta,tiptengio 25mg/5mg tableta,xilingio 25mg/5mg tableta,,
acton-or tablet sr,acton-o tablet sr,xtpara tablet sr,parvon 1000 sr tablet,instaflex p tablet sr,para 1000-sr tablet,pa 12 tablet sr,tableta xtpara sr,parvon 1000 sr tableta,instaflex p tablet sr,para 1000-sr tableta,pa 12 tablet sr
aquazide 12.5 tablet,aquazide 12.5 tableta,davaindia hydrochlorothiazide 12.5mg tablet,xenia 12.5mg tablet,thiazide 12.5mg tablet,bpzide 12.5mg tablet,dizide 12.5mg tablet,davaindia hidroclorotiazida 12.5mg tableta,xenia 12.5mg tableta,tiazide 12.5mg tableta,bpzide 12.5mg tableta,dizide 12.5mg tableta
alaspan am tablet,tableta de alaspan am,loridin am tablet,alastin am tablet,claridin am tablet,lorpd am 60mg/5mg tablet,lorich-am tablet,loridin am tableta,alastin am tableta,claridin am tableta,lorpd am 60mg/5mg tableta,tableta lorich-am
althrocin 250 tablet,althrocin 250 tableta,agrocin 250mg tablet,eryster 250mg tablet,erythrokem 250mg tablet,erythrotone 250mg tablet,e mycin 250mg tablet,agrocina 250 mg de tableta,tableta eryster 250mg,erytrokem 250mg tableta,erythrotonone 250mg tableta,e mycin 250mg tableta
azikem 500mg tablet,azikem 500mg tableta,zithrocare 500mg tablet,azax 500 tablet,zady 500 tablet,trulimax 500mg tablet,azifast 500 tablet,zithrocare 500mg tableta,azax 500 tableta,zady 500 tableta,tableta trulimax 500mg,azifast 500 tableta
aldosmin 500mg tablet,aldosmin 500mg tableta,venostor 500 tablet,daflon 500 mg tablet,veinmax tablet,,,tableta venostor 500,daflon 500 mg de tableta,tableta veinmax,,
